,labels,sentences
102,pets.stackexchange.com.txt,How do I keep my neighbor's cat from defecating in my yard?
103,french.stackexchange.com.txt,Correct use of indefinite articles with plural objects and singular subjects
104,matheducators.stackexchange.com.txt,How to improve atmosphere in male-dominated courses
105,judaism.stackexchange.com.txt,What influences and books do modern Jews read today is it as it is said in the encylopedias? please help
106,sqa.stackexchange.com.txt,How to improve the code quality mindset?
107,ux.stackexchange.com.txt,Sorting alphabetically - best intuitive way to signify alphabetical ordering
108,expatriates.stackexchange.com.txt,Can my german employer rollback my promotion?
109,parenting.stackexchange.com.txt,How to improve my 5 year old son's behavior in pre-kindergarden?
110,writers.stackexchange.com.txt,how to elaborate a crime case
111,hermeneutics.stackexchange.com.txt,"What does Jesus mean by ""generation"" when talking about the destruction of the temple and the end of the age?"
112,german.stackexchange.com.txt,"Translations for ""Site"" in the context of a location?"
113,magento.stackexchange.com.txt,Initiate paypal refund online in magento
114,hinduism.stackexchange.com.txt,What is Ramanujacharya's argument that the Upanishads must be true if they grant Moksha?
115,stats.stackexchange.com.txt,How to apply an AR(MA) model to a prewhitened signal?
116,interpersonal.stackexchange.com.txt,My dog and I offended a new neighbor. How do we make it right?
117,spanish.stackexchange.com.txt,"¿Existe algún adjetivo en español para describir a alguien ""condenado al ostracismo""?"
118,softwarerecs.stackexchange.com.txt,Suitable engine for game with no movement
119,ethereum.stackexchange.com.txt,Why does a mining reward exist?
120,iot.stackexchange.com.txt,mosquitto - bridging options for remote client identifier
121,ethereum.stackexchange.com.txt,"Access multiple return values (a, b, c) from solidity function in web3js"
122,expatriates.stackexchange.com.txt,How do I import a vehicle from outside the EU to the UK?
123,expressionengine.stackexchange.com.txt,https and Control Panel mixed content error
124,pets.stackexchange.com.txt,What are the health risks if my pet has fleas?
125,quantumcomputing.stackexchange.com.txt,Can the SWAP test only compare registers with the same number of qubits?
126,softwareengineering.stackexchange.com.txt,Moving from TFS to Distributed SCM
127,photo.stackexchange.com.txt,Why are tripods forbidden in some public spaces and how to deal with it?
128,graphicdesign.stackexchange.com.txt,"Connector lines with knee (angle, multiple nodes) in Inkscape?"
129,english.stackexchange.com.txt,How do I refer to a number in an image in a scientific paper?
130,fitness.stackexchange.com.txt,What muscles are responsible for the flight phase of running?
131,japanese.stackexchange.com.txt,use of だって in this sentence
132,stats.stackexchange.com.txt,MATLAB quantiz - mean square distortion
133,literature.stackexchange.com.txt,"What can we learn from this character's death in ""Mockingjay"", out of universe?"
134,quant.stackexchange.com.txt,How to deal with negative ARCH terms?
135,engineering.stackexchange.com.txt,Generating a plasma via induction coil
136,graphicdesign.stackexchange.com.txt,How to stop snapping of slices when re-sizing?
137,monero.stackexchange.com.txt,Can view keys differentiate between payments and change?
138,tor.stackexchange.com.txt,consequences after having logged into a non-tor account
139,joomla.stackexchange.com.txt,Single Article menu item - inconsistent weirdness in paging through articles list
140,judaism.stackexchange.com.txt,Plants before the Sun in the Order of Creation
141,quantumcomputing.stackexchange.com.txt,In error correction code why don't we imitate the Hamming code instead of the complicated Steane code?
142,stellar.stackexchange.com.txt,Using IPFS hashes in stellar transaction / MEMO
143,reverseengineering.stackexchange.com.txt,"IDA - large jump table, missing cases in analysis"
144,mechanics.stackexchange.com.txt,How to use BG Fuel Injection System Cleaner?
145,writers.stackexchange.com.txt,"How should I set the inside margin for my 5x8"" book with Createspace?"
146,musicfans.stackexchange.com.txt,Techno-House theme where interpreter naming Roman Emperors in the lyrics
147,retrocomputing.stackexchange.com.txt,Was Family BASIC for the NES/Famicom powerful enough to create full games and applications?
148,monero.stackexchange.com.txt,Is automated churning of XMR bad for privacy?
149,patents.stackexchange.com.txt,Can a protocol for detection of acupuncture meridian blockage be patented?
150,webmasters.stackexchange.com.txt,"If your site has been flagged, ""this site may harm your computer"" how long before Google takes action"
151,stackapps.com.txt,I don't want to be a mod
152,serverfault.com.txt,What are reasonable values for --throttle on xtrabackup?
153,sitecore.stackexchange.com.txt,How to add custom lang-region in sitecore system language
154,french.stackexchange.com.txt,Se mettre sur son 31
155,gardening.stackexchange.com.txt,Why have my tomato leaves started yellowing at the base?
156,french.stackexchange.com.txt,Comment traduire « (the) vulnerable world hypothesis » ?
157,unix.stackexchange.com.txt,Solaris service status and dependencies
158,esperanto.stackexchange.com.txt,How do you say 'tamale' in Esperanto?
159,sitecore.stackexchange.com.txt,Experience Editor overwriting items edited elsewhere
160,worldbuilding.stackexchange.com.txt,What sort of problems might occur if every human gained extra muscle mass?
161,german.stackexchange.com.txt,"Should there be a hyphen in the construction ""IT affin""?"
162,hinduism.stackexchange.com.txt,What facts can be derived from the MahaSankalpam sloka?
163,gaming.stackexchange.com.txt,How Do I Change Unit Names?
164,sound.stackexchange.com.txt,What audio usb interface do I need to play guitar pro with guitar rig?
165,german.stackexchange.com.txt,"Ja klar, kann man machen"
166,softwarerecs.stackexchange.com.txt,Library or tool to point out floating point arithmetic issues on a code snippet
167,networkengineering.stackexchange.com.txt,GRE tunnel(or even any tunnelling technique) between Alcatel 7750 and a Cisco Router
168,parenting.stackexchange.com.txt,My toddler has a kind of facial spasm/seizure - how to find out more about it?
169,sound.stackexchange.com.txt,Is Apple Compressor Reliable for MP4 Conversion
170,mythology.stackexchange.com.txt,Is there a connection between Odin or Zeus and the Christian God?
171,webmasters.stackexchange.com.txt,MX changes for domain alias not propogating
172,es.stackoverflow.com.txt,como guardar una accion de jquery en el localstorage?
173,korean.stackexchange.com.txt,"what's the old korean saying, ""Nuh jukgo, nah jukja""?"
174,matheducators.stackexchange.com.txt,Should college mathematics always be taught in such a way that real world applications are always included?
175,french.stackexchange.com.txt,Films : Version doublée vs originale sous-titrée
176,worldbuilding.stackexchange.com.txt,Taking all the blood of a dozen humans and putting it into acid – could I create a wolf?
177,poker.stackexchange.com.txt,What are practical differences between 8-max and 9-max tournaments?
178,patents.stackexchange.com.txt,What is the invention in the application?
179,interpersonal.stackexchange.com.txt,"How can I politely tell someone who is ineffectively holding a door open for me, “Thanks, but no thanks.”"
180,tor.stackexchange.com.txt,How can Wget be configured to work with Torify securely?
181,iot.stackexchange.com.txt,What is the working voltage range of a Sonoff Touch?
182,expatriates.stackexchange.com.txt,Where to find non-anecdotal and up-to-date information regarding the cost of living in other countries?
183,gis.stackexchange.com.txt,Merge Error 000594 in ArcMap - falls outside of output geometry domains
184,security.stackexchange.com.txt,Error 150 (net::ERR_SSL_PINNED_KEY_NOT_IN_CERT_CHAIN): The server's certificate appears to be a forgery
185,rpg.stackexchange.com.txt,Where do Avandra and Melora reside?
186,pm.stackexchange.com.txt,How can I track time spent by assignees on each ticket in JIRA?
187,robotics.stackexchange.com.txt,Can ESC be programmed to run full throttle only on one side of a quadcopter?
188,ru.stackoverflow.com.txt,Нужны ли индексы на поля участвующие в join
189,ux.stackexchange.com.txt,Are editable grids and split pages with tabs bad web UX?
190,sharepoint.stackexchange.com.txt,Search terms incorrectly highlighted in results
191,quant.stackexchange.com.txt,Why do simulation schemes have difficulty in pricing options with low spots?
192,stats.stackexchange.com.txt,Probability Curve from logit model
193,graphicdesign.stackexchange.com.txt,Indesign cs5.5 export as Epub interactive
194,islam.stackexchange.com.txt,Can we license translation software for the Quran and Hadits?
195,softwareengineering.stackexchange.com.txt,Should a function use premature returns or wrap everything in if clauses?
196,money.stackexchange.com.txt,Overseas Foreign Earned Income; Can I take the Home Office Deduction for a home office based outside the United States?
197,tezos.stackexchange.com.txt,How to become a baker - what are all the technical/financial requirements?
198,tridion.stackexchange.com.txt,Core Service Client lack of robustness in Workflow
199,poker.stackexchange.com.txt,Variance - or rigged game
200,gis.stackexchange.com.txt,QGIS WMS ver 1.3.0 Exception with GeoServer
201,ethereum.stackexchange.com.txt,Need recovery of original JASON file for 3000 ether
202,opendata.stackexchange.com.txt,Is it the right query on what I am looking for in openFDA?
203,fitness.stackexchange.com.txt,How can I correctly log the calorie burn of circuit routines?
204,graphicdesign.stackexchange.com.txt,Load animated GIF in Photoshop CS4
205,ru.stackoverflow.com.txt,Открытие и навигация по сайту через C#
206,german.stackexchange.com.txt,Use of personal pronouns (including the polite forms)
207,graphicdesign.stackexchange.com.txt,How to resize canvas interactively in Photoshop CS6?
208,esperanto.stackexchange.com.txt,"How does one say ""suit yourself"" in Esperanto?"
209,spanish.stackexchange.com.txt,"¿Se usa ""halar"" en vez de ""jalar"" en algún lugar?"
210,sports.stackexchange.com.txt,Why did Game 1 of the 2015 ALDS have a start time that depended on another game?
211,gardening.stackexchange.com.txt,What's wrong with my gardenia?
212,security.stackexchange.com.txt,Is it safe to install metasploit in my daily-used computer?
213,space.stackexchange.com.txt,Where would one deploy deep space atomic clocks?
214,worldbuilding.stackexchange.com.txt,How Could A Time Traveller Communicate With Neanderthals?
215,stackoverflow.com.txt,Can't get my event to fire
216,matheducators.stackexchange.com.txt,Is simplifying a rational function considered as a continuous extension?
217,english.stackexchange.com.txt,Should I say a date differently from the way it is written?
218,scicomp.stackexchange.com.txt,Generate high n quantum harmonic oscillator states numerically
219,windowsphone.stackexchange.com.txt,apps on SD card when switching phones
220,hsm.stackexchange.com.txt,When was the modern field theory approach to Galois theory developed?
221,softwarerecs.stackexchange.com.txt,Mobile security and vulnerability analysis tool
222,law.stackexchange.com.txt,Am I allowed to sell photos online at 15?
223,linguistics.stackexchange.com.txt,Is the adverbial phrase and adverb phrase identical?
224,matheducators.stackexchange.com.txt,Is there an advantage to teaching solution of simultaneous equations by setting equations equal to each other?
225,islam.stackexchange.com.txt,Is it permissible to have a picture without the eye visible?
226,islam.stackexchange.com.txt,wife clothing in islam infront of her husband
227,law.stackexchange.com.txt,Can HIPPA be waived by contract with doctor and what constitutes one's 'medical status'?
228,wordpress.stackexchange.com.txt,How do I set up a custom URL shortener for my posts?
229,rus.stackexchange.com.txt,Необходима ли запятая перед вопросом
230,gis.stackexchange.com.txt,Clipping soil survey map service to feature class?
231,engineering.stackexchange.com.txt,How to predict shadows of a house (3D modeling + sunlight)?
232,tridion.stackexchange.com.txt,How to get INDEXER_REPLICATION_PORT that the syncserver is currently listening to?
233,esperanto.stackexchange.com.txt,"How can I say ""I wonder""?"
234,ukrainian.stackexchange.com.txt,"Простакувата назва ""Learn you %topic% for great good"" українською"
235,hsm.stackexchange.com.txt,"Why is harmonic oscillator creation operator called ""a-dagger"", $a^\dagger$?"
236,scicomp.stackexchange.com.txt,How can one produce a proper streamline plot?
237,health.stackexchange.com.txt,Is it possible to get a secondary infection following a flu shot
238,space.stackexchange.com.txt,Are crewed capsules equiped to land pretty much anywhere in the world?
239,tor.stackexchange.com.txt,List hidden service managed by an HSDIR
240,pm.stackexchange.com.txt,Where is the value in walking the board with a detailed task board?
241,engineering.stackexchange.com.txt,Is there an inward (radial) force acting on a magnet inside a magnet?
242,french.stackexchange.com.txt,Que veut dire « avait pu avoir » ?
243,italian.stackexchange.com.txt,"Posizione di ""sempre"" quando è accompagnato da un verbo"
244,russian.stackexchange.com.txt,Mainland Russia as seen from Kamchatka circa 1800
245,gaming.stackexchange.com.txt,How can I complete Bwemba's Spirit?
246,sports.stackexchange.com.txt,What are the powers of referee in a football match?
247,lifehacks.stackexchange.com.txt,How can I warm my feet in winter without shoes and socks?
248,engineering.stackexchange.com.txt,How is the relation between turbulence intensity and turbulent kinetic energy derived?
249,magento.stackexchange.com.txt,Sending the same item to multiple recipients
250,portuguese.stackexchange.com.txt,"What is the difference between ""embrulhar"", ""empacotar"", and ""agasalhar""?"
251,softwarerecs.stackexchange.com.txt,Is there any Tensorflow or common ANN guide for choosing right solution?
252,latin.stackexchange.com.txt,"Translation of ‘I am, therefore I thank’"
253,scicomp.stackexchange.com.txt,Newton method for a nonlinear system of time-independent PDEs
254,expressionengine.stackexchange.com.txt,low events conditional to show event date that lasts for more than one day
255,es.stackoverflow.com.txt,Consulta MySQL con REGEXP para agregar un ID si no está en el valor de un campo
256,retrocomputing.stackexchange.com.txt,Can I run Windows 98 and games from the same era on an AMD Duron CPU?
257,windowsphone.stackexchange.com.txt,Which Windows Phone restrictions makes benchmarking a challenge?
258,sharepoint.stackexchange.com.txt,Add description to the fields in newform.aspx and editform.aspx?
259,iota.stackexchange.com.txt,Iota White paper section 4.4. Random walkers
260,stellar.stackexchange.com.txt,Is it possible to have multiple issuer?
261,tor.stackexchange.com.txt,How to measure Page Load Time?
262,ux.stackexchange.com.txt,Combining Settings and About screens in a mobile web app
263,quant.stackexchange.com.txt,portfolio returns when portfolio value is negative
264,ru.stackoverflow.com.txt,Динамическое подставление полей в представлениях
265,pm.stackexchange.com.txt,Best measurable units for non cross-functional team estimation
266,ru.stackoverflow.com.txt,Как заменить ряды в таблице >3
267,genealogy.stackexchange.com.txt,Right to title being descended from Earl of Crewe?
268,space.stackexchange.com.txt,Is there a better way for astronauts to bathe?
269,iot.stackexchange.com.txt,Sending load information from devices to the coordinator
270,parenting.stackexchange.com.txt,What's a good home-based learning curriculum for a 2-year-old?
271,parenting.stackexchange.com.txt,How to remain unaffected by my 10-year-old son's angry outbursts?
272,networkengineering.stackexchange.com.txt,DHCP Layer 2 and Layer 3
273,opendata.stackexchange.com.txt,New delimited shapefile for Delhi
274,sound.stackexchange.com.txt,How do I isolate parts of a song according to pan position?
275,gaming.stackexchange.com.txt,How do I stop 5 rax reaper into MM as Zerg?
276,engineering.stackexchange.com.txt,How do I determine the thermal resistance of a metal box?
277,vi.stackexchange.com.txt,Go to the last cursor position using marks
278,pets.stackexchange.com.txt,Is it necessary to cover the top in a pond with silver arowana?
279,interpersonal.stackexchange.com.txt,How to manage an ex-flatmate who refuses any communication at all?
280,mechanics.stackexchange.com.txt,"'09 Chevy Malibu - No Crank, No Start - Heavy Troubleshooting Already Completed"
281,gaming.stackexchange.com.txt,Making Dark Souls just a little bit easier?
282,japanese.stackexchange.com.txt,Help with には and にとって
283,spanish.stackexchange.com.txt,"¿Por qué ""ancashino"", ""leishmaniosis"" y ""marshalés"" se escriben con letra redonda a pesar de llevar el dígrafo ""sh""?"
284,esperanto.stackexchange.com.txt,"Does ""invervjuo"" cover all meanings of the English word ""interview""?"
285,health.stackexchange.com.txt,"Why are medial epicondylopathies more effectively treated with open, traditional surgical procedures than with arthroscopies?"
286,philosophy.stackexchange.com.txt,"Metaphysically, what comes before the cognitive ability to make distinctions?"
287,magento.stackexchange.com.txt,Check if page is filterable
288,tor.stackexchange.com.txt,How can I explain the meaning of Tor to my grandma?
289,superuser.com.txt,Use WMP to sync and transcode into MP4
290,musicfans.stackexchange.com.txt,"Was ""The 3rd and the Mortal"" the first metal band with clear female vocals?"
291,photo.stackexchange.com.txt,What's the difference between the lenses EF-S 18-55 DC III and EF-S 18-55 IS II?
292,graphicdesign.stackexchange.com.txt,Is there any way to set fallback font-families in Illustrator SVG?
293,martialarts.stackexchange.com.txt,"kicked in the sternum - tips on healing, time frame? any lingering danger?"
294,parenting.stackexchange.com.txt,How can I emphasize to my children the importance of developing social skills?
295,lifehacks.stackexchange.com.txt,How do I manage my cat food in the absence of maid?
296,engineering.stackexchange.com.txt,What is the behavior of unpowered FPGA pins on I2C bus?
297,superuser.com.txt,How much disk space should I devote to my Linux / partition?
298,mythology.stackexchange.com.txt,Did the Moirai (3 Fates) also control lovers destiny or was that the responsibility of another deity?
299,magento.stackexchange.com.txt,Magento Search and only include products in categories
300,ux.stackexchange.com.txt,Multiple instances of a Property Editor
301,mechanics.stackexchange.com.txt,Power steering noise that goes away
302,languagelearning.stackexchange.com.txt,Resources for finding a word in natural context
303,softwarerecs.stackexchange.com.txt,foobar2000-like audio player for OS X (and bonus: GNU/Linux)
304,webmasters.stackexchange.com.txt,My site has crashed .. anyone have some info?
305,networkengineering.stackexchange.com.txt,Configure all ports located on other switches from one switch
306,languagelearning.stackexchange.com.txt,Collection of mnemonics for learning foreign languages?
307,mythology.stackexchange.com.txt,Are there any four-armed creatures in any pantheon?
308,japanese.stackexchange.com.txt,相変わらずだよWhat is the meaning of this ending -azu in verbs
309,quant.stackexchange.com.txt,Can a momentum strategy be cast as a multilinear regression model?
310,expressionengine.stackexchange.com.txt,"EE sending to Spam, need help"
311,judaism.stackexchange.com.txt,Special haftara blessing on Shabbat Chol Hamo'ed Sukkot
312,softwarerecs.stackexchange.com.txt,RDP (or alternative) with least latency
313,softwarerecs.stackexchange.com.txt,Server based password safe with local client
314,hinduism.stackexchange.com.txt,What about the technology of the previous Kali Yugas?
315,patents.stackexchange.com.txt,explaining the theory that undergoes an invention in patent description?
316,politics.stackexchange.com.txt,"Has any major politician recently called for a ""New Rome?"""
317,superuser.com.txt,"Allow other PC to access proxy installed on my laptop, in ubuntu"
318,pt.stackoverflow.com.txt,Como inserir um asterisco a cada 3 caracteres?
319,hermeneutics.stackexchange.com.txt,"What is the ""first resurrection""?"
320,physics.stackexchange.com.txt,Accelerating expansion of universe - entire universe a non-inertial frame of reference?
321,tezos.stackexchange.com.txt,Manually (without a node) construct protocol hash from a folder
322,languagelearning.stackexchange.com.txt,Good forums for Thai learners?
323,scifi.stackexchange.com.txt,What happened to the modifications to the Enterprise made by the Kelvans?
324,ru.stackoverflow.com.txt,Как сосчитать процент на ассемблере?
325,english.stackexchange.com.txt,"""Amount"" vs. ""number"" vs. ""quantity"""
326,engineering.stackexchange.com.txt,Why do I need to place car cabin filter according Air flow label
327,robotics.stackexchange.com.txt,What is difference between 2 wheels and 4 wheels and tracked differential mobile base kinematics?
328,ux.stackexchange.com.txt,"""Compare products"" functionality on a product listing"
329,opendata.stackexchange.com.txt,What is the best source of open data on sea level rise in Bangladesh and India?
330,graphicdesign.stackexchange.com.txt,Issue with deleting edges in Maya 2014
331,math.stackexchange.com.txt,How to use integral - $x^2$
332,physics.stackexchange.com.txt,Why is static friction omitted here? And comparison with this problem on Newton's second Law. Solutions are all provided
333,mechanics.stackexchange.com.txt,Broken Exhaust Manifold Stud - How to remove?
334,iota.stackexchange.com.txt,Why does the least significant trit come first?
335,security.stackexchange.com.txt,How to install Metasploit on Mavericks + MacPorts?
336,sound.stackexchange.com.txt,Layers of diagetic sound showing Temporal ambiguity in film
337,ru.stackoverflow.com.txt,Не ставится Python на Windows XP
338,softwarerecs.stackexchange.com.txt,Opening and sorting huge files
339,serverfault.com.txt,steps to install sql2008 and have it accessible via SSMS remotely tied to a IPaddress
340,pm.stackexchange.com.txt,Is it wrong to collect user's IP addresses for registration purposes?
341,photo.stackexchange.com.txt,How to shoot action shots with Panasonic Lumix DMC-TZ10?
342,german.stackexchange.com.txt,Sieh mal vs. guck mal
343,poker.stackexchange.com.txt,Best strategy you know of for winning at texas hold'em
344,engineering.stackexchange.com.txt,Calculating NPSHa for a pump
345,woodworking.stackexchange.com.txt,"Hitachi electric miter saw leaves a strange, slightly undulating non-square edge"
346,matheducators.stackexchange.com.txt,Should students get full credit for getting the correct answer (without work)?
347,fitness.stackexchange.com.txt,Chest/Abs training for a thin young man (4 times for 6 months)
348,philosophy.stackexchange.com.txt,How do you prove that this is a tautology?
349,expressionengine.stackexchange.com.txt,Assets 2.0.3 Rename File Issue
350,expressionengine.stackexchange.com.txt,Embedding Low Variables within Low Variables i.e. preparse
351,ham.stackexchange.com.txt,Presumably working FT-8900R doesn't turn on. What can be a reason?
352,math.stackexchange.com.txt,Role of orthonormal basis for: Linear functional on a finite dimensional inner product space is 'inner product with a fixed vector in the space'
353,tor.stackexchange.com.txt,"Tor Relay questions (equipment, router hardware, DSL)"
354,matheducators.stackexchange.com.txt,Preimage of a set under a function
355,serverfault.com.txt,Team Foundation Server on Windows Server 2008 Server Core installation?
356,softwareengineering.stackexchange.com.txt,Programmer VS Commercial Systems (ERP)
357,movies.stackexchange.com.txt,Why was Not Safe for Work repremiered as Clipaholics?
358,mythology.stackexchange.com.txt,Why would slaves be sacrificed after their master's death?
359,webmasters.stackexchange.com.txt,De-indexing pages and checking with Google's site: command
360,musicfans.stackexchange.com.txt,How does Billboard assign songs to its various charts?
361,interpersonal.stackexchange.com.txt,How should my wife handle an engaged admirer and his fiancee?
362,or.stackexchange.com.txt,How do you keep track of the latest publications in OR
